autor,g.r.,mesto,razred,škola,mesto š.,prog,A5,god,naslov,link
Vulović Bojan,1983,Vlaška,četvrti,Gimnazija,Mladenovac,HEM,3,2002,Poređenje kiselinsko-bazne titracije sa jodimetrijskim metodama za određivanje vitamina C,pdf/2002/z02-2304milena.pdf
Miljković Maja,1984,Beograd,treći,V beogradska gimnazija,Beograd,HEM,3,2002,Uticaj sirćetne kiseline na izolovanje solanidina iz klica krompira,pdf/2002/z02-2305zmaja_q.pdf
Čučulanović Sonja,1983,Smederevo,četvrti,Gimnazija,Smederevo,BMD,6,2002,Antioksidantna svojstva alkoholnih rastvora propolisa,pdf/2002/z02-2401sonjac.pdf
Mihajlović Luka,1984,Beograd,treći,III beogradska gimnazija,Beograd,BMD,3,2002,Antimutagena svojstva soka od crne ribizle (Rubes nigrum),pdf/2002/z02-2402luka.pdf
Lendak Dajana,1985,Kula,drugi,"Gimnazija ""Žarko Zrenjanin""",Vrbas,BMD,3,2002,Uticaj temperature na stepen ekstrakcije teških metala iz čaja,pdf/2002/z02-2403dajana.pdf
Brković Čarna,1985,Podgorica (CG),treći,"Gimnazija ""Slobodan Škerović""",Podgorica (CG),AHL,11,2002,"Analiza antičke keramike sa lokaliteta Crkvine, Rovni",pdf/2002/z02-3101charna.pdf
Celner Ksenija Senka,1984,Beograd,treći,III beogradska gimnazija,Beograd,AHL,23,2002,Antičko rudarstvo na Kosmaju,pdf/2002/z02-3102senka_k.pdf
Tešović Ana,1983,Kragujevac,četvrti,Prva kragujevačka gimnazija,Kragujevac,AHL,23,2002,Antičko rudarstvo na Kosmaju,pdf/2002/z02-3102senka_k.pdf
Mašović Mila,1983,Beograd,četvrti,i beogradska gimnazija,Beograd,AHL,23,2002,Antičko rudarstvo na Kosmaju,pdf/2002/z02-3102senka_k.pdf
Velčev Milica,1984,Dimitrovgrad,treći,Gimnazija,Dimitrovgrad,AHL,12,2002,Rekognosciranje pećina u selu Senokos na Staroj planini,pdf/2002/z02-3103senokos.pdf
Rašić Marija,1984,Niš,treći,"Gimnazija ""Svetozar Marković""",Niš,AHL,12,2002,Rekognosciranje pećina u selu Senokos na Staroj planini,pdf/2002/z02-3103senokos.pdf
Pešić Mladen,1986,Leskovac,drugi,"Gimnazija ""Stanimir Veljković Zele""",Leskovac,AHL,12,2002,Rekognosciranje pećina u selu Senokos na Staroj planini,pdf/2002/z02-3103senokos.pdf
Rajković Ivan,1983,Zaječar,četvrti,Gimnazija,Zaječar,ANT,13,2002,"Zaječarski ""Sekač"": Semiološka analiza folklornih priča o ubistvima",pdf/2002/z02-3201rajkovic.pdf
Žarković Olivera,1985,Golubinci,četvrti,"Gimnazija ""Branko Radičević""",Stara Pazova,LIN,20,2002,Dekompovanje predikata,pdf/2002/z02-3301olja.pdf
Simonović Marko,1983,Zaječar,četvrti,Gimnazija,Zaječar,LIN,21,2002,"Analiza strukture razlika između tekstova na ambalaži robe široke potrošnje za područja Jugoslavije, Bosne i Hercegovine i Hrvatske",pdf/2002/z02-3302marko.pdf
Soković Darko M.,1985,Novi Beograd,drugi,Filološka gimnazija,Beograd,LIN,4,2002,"Promena osnovnih brojeva dva, tri i četiri u srpskom jeziku",pdf/2002/z02-3303dms.pdf
Ivanović Kristina,1984,Niš,treći,"Gimnazija ""Stevan Sremac""",Niš,LIN,4,2002,Semantičko variranje leksema engleskog i srpskog jezika,pdf/2002/z02-3304kristina.pdf
Major Agota,1984,Novi Sad,treći,"Gimnazija ""Svetozat Marković""",Novi Sad,LIN,4,2002,Semantičko variranje leksema engleskog i srpskog jezika,pdf/2002/z02-3304kristina.pdf
Gajić Danica,1986,Beograd,prvi,V beogradska gimnazija,Beograd,LIN,4,2002,Semantičko variranje leksema engleskog i srpskog jezika,pdf/2002/z02-3304kristina.pdf
Roskić Jelena,1983,Beograd,četvrti,XV beogradska gimnazija,Beograd,LIN,4,2002,Semantičko variranje leksema engleskog i srpskog jezika,pdf/2002/z02-3304kristina.pdf
Đurić Bojana,1985,Beograd,treći,Medicinska škola Zvezdara,Beograd,LIN,4,2002,Semantičko variranje leksema engleskog i srpskog jezika,pdf/2002/z02-3304kristina.pdf
Radivojević Branislava,1983,Beograd,četvrti,i beogradska gimnazija,Beograd,LIN,4,2002,Semantičko variranje leksema engleskog i srpskog jezika,pdf/2002/z02-3304kristina.pdf
Dinić Bojana,1983,Prokuplje,četvrti,Gimnazija,Prokuplje,PSH,11,2002,Fenomen taketa i malouma-vizualizacija pseudoreči,pdf/2002/z02-3401takete.pdf
Nešović Zlatka,1985,Užice,drugi,"Tehnička škola ""Radoje Ljubičić""",Užice,PSH,11,2002,Fenomen taketa i malouma-vizualizacija pseudoreči,pdf/2002/z02-3401takete.pdf
Zečević Anđelka,1984,Sremčica,treći,Matematička gimnazija,Beograd,PSH,11,2002,Fenomen taketa i malouma-vizualizacija pseudoreči,pdf/2002/z02-3401takete.pdf
Milovanović Biljana,1984,Beograd,treći,III beogradska gimnazija,Beograd,PSH,15,2002,Dominacija tipa geometrijske transformacije kod grupisanja geometrijskih oblika,pdf/2002/z02-3402bilja.pdf
Nikolić Snežana,1983,Majdanpek,četvrti,"Gimnazija ""Mile Arsenijević Bandera""",Majdanpek,PSH,15,2002,Dominacija tipa geometrijske transformacije kod grupisanja geometrijskih oblika,pdf/2002/z02-3402bilja.pdf
Knežević Ivan,1984,Novi Sad,treći,"Gimnazija ""Svetozar Marković""",Novi Sad,PSH,15,2002,Dominacija tipa geometrijske transformacije kod grupisanja geometrijskih oblika,pdf/2002/z02-3402bilja.pdf
Đermanović Danijela,1984,Petrovaradin,treći,"Tehnička škola ""Jovan Vukanović""",Novi Sad,PSH,3,2002,Preferencija položaja tri objekta na slici,pdf/2002/z02-3403zletni.pdf
Jovanović Monika,1984,Beograd,treći,I beogradska gimnazija,Beograd,PSH,3,2002,Preferencija položaja tri objekta na slici,pdf/2002/z02-3403zletni.pdf
Marcikić Aleksandra,1985,Subotica,drugi,"Gimnazija ""Svetozar Marković""",Subotici,PSH,3,2002,Preferencija položaja tri objekta na slici,pdf/2002/z02-3403zletni.pdf
Vladisavljević Marko,1983,Novi Beograd,četvrti,i ekonomska škola,Beograd,PSH,3,2002,Preferencija položaja tri objekta na slici,pdf/2002/z02-3403zletni.pdf
Čubrović Mihajlo,1985,Beograd,treći,Matematička gimnazija,Beograd,AST,11,2003,Univerzalonost i skaliranje parametra haotičnog transporta u perturbovanim hamiltonijanskim sistemima: kinetički model i numerički tekstovi,pdf/2003/z03-1101.pdf
Marinković Marina,1984,Šid,četvrti,Matematička gimnazija,Beograd,FIZ,11,2003,Primena Monte Carlo i Bethe ansatz metoda u ispitivanju osobina 1D Hajzenbergovog modela magnetika,pdf/2003/z03-1201.pdf
Savić Miloš,1984,Valjevo,četvrti,Valjevska gimnazija,,FIZ,18,2003,PARPER – paralelizovani simulator procesa perkolacije na kvadratnim rešetkama,pdf/2003/z03-1202.pdf
Vranić Marija,1984,Beograd,četvrti,IV beogradska gimnazija,Beograd,FIZ,4,2003,Određivanje putanja naelektrisane čestice u električnom polju primenom genetičkog algoritma (2D slučaj),pdf/2003/z03-1203.pdf
Bajić Biljana,1985,Novi Sad,treći,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,MAT,9,2003,Ispitivanje magičnosti grafa po čvorovima,pdf/2003/z03-1301.pdf
Stanimirović Ivan,1986,Leskovac,drugi,Gimnazija,Leskovac,MAT,9,2003,Ispitivanje magičnosti grafa po čvorovima,pdf/2003/z03-1301.pdf
Kovačević Tijana,1987,Beograd,prvi,Matematička gimnazija,Beograd,MAT,9,2003,Ispitivanje magičnosti grafa po čvorovima,pdf/2003/z03-1301.pdf
Pajović Danica,1984,Beograd,četvrti,III beogradska gimnazija,Beograd,ELE,9,2003,Pojačivač D klase,pdf/2003/z03-1401.pdf
Tomašev Nenad,1985,Novi Sad,četvrti,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,BIO,7,2003,"Komparativna analiza populacija vrste Maniola jurtina (rhopalocera, Satyridae) iz okoline Petnice i planine Goč",pdf/2003/z03-2101.pdf
Novković Biljana,1984,Novi Sad,četvrti,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,BIO,8,2003,Prilog poznavanju araneofaune okoline Valjeva,pdf/2003/Z03-2102.pdf
Radišić Dimitrije,1986,Novi Sad,drugi,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,BIO,6,2003,Analiza karakteristika staništa okoline Petnice sa aspekta faune ptica,pdf/2003/z03-2103.pdf
Grujičić Draško,1986,Beočin,prvi,Srednja poljoprivredna škola sa domom učenika,Futog,BIO,4,2003,Teški metali u tkivima žutooke Rutilus rutilus kao indikator zagađenja vode Petničkog jezera,pdf/2003/Z03-2104.pdf
Purjakov Stefan,1986,Zemun,prvi,Zemunska gimnazija,Beograd,BIO,4,2003,Teški metali u tkivima žutooke Rutilus rutilus kao indikator zagađenja vode Petničkog jezera,pdf/2003/Z03-2104.pdf
Klajić Živko,1984,Bačko gradište,treći,Srednja poljoprivredna škola sa domom učenika,Futog,BIO,4,2003,Teški metali u tkivima žutooke Rutilus rutilus kao indikator zagađenja vode Petničkog jezera,pdf/2003/Z03-2104.pdf
Đokić Vitomir,1984,Beograd,četvrti,XII beogradska gimnazija,Beograd,BIO,5,2003,Laboratorijsko uzgajanje krpelja simulacijom prirodnih uslova,pdf/2003/z03-2105.pdf
Vanić Marko,1985,Niš,treći,Gimnazija 9 maj,Niš,GLG,9,2003,Poreklo voda Niške Banje,pdf/2003/z03-2201.pdf
Šćepanović Božidar,1984,Ratkovo,četvrti,"Gimnazija ""Jovan Jovanović Zmaj""",Odžaci,GLG,4,2003,Rudni minerali gornjeg dela sliva Dobrave,pdf/2003/z03-2202.pdf
Marković Stefan,1985,Loznica,treći,"Gimnazija ""Vuk Karadžić""",Loznica,GLG,4,2003,Rudni minerali gornjeg dela sliva Dobrave,pdf/2003/z03-2202.pdf
Pruner Iva,1984,Beograd,četvrti,XIII beogradska gimnazija,Beograd,GLG,6,2003,Oblici i savremeni procesi centralnog dela Delibatske peščare,pdf/2003/Z03-2203.pdf
Černok Ana,1985,Pančevo,treći,"Gimnazija ""Uroš Predić""",Pančevo,GLG,6,2003,Oblici i savremeni procesi centralnog dela Delibatske peščare,pdf/2003/Z03-2203.pdf
Denić Marija,1986,Niš,treći,"Bora Stanković""",Niš,HEM,10,2003,Katalitičko razlaganje vodonik-peroksida u prisustvu zeolita A izmenjenog jonima bakra (II),pdf/2003/z03-2301.pdf
Pasti Igor,1984,Sombor,četvrti,"Gimnazija ""Veljko Petrović""",Sombor,HEM,6,2003,Uticaj upotrebe atrazina na količinu različitih oblika azota u zemljištu,pdf/2003/Z03-2302.pdf
Trajković Miloš,1985,Vranje,četvrti,"Gimnazija ""Bora Stanković""",Vranje,HEM,3,2003,Uticaj Fe 3+ jona kao katalizatora u reakciji kopolimerizacije akrilne maleinske kiseline,pdf/2003/z03-2303.pdf
Santrač Darko,1984,Subotica,četvrti,Srednja medicinska,Subotica,HEM,4,2003,Fotokataličko razlaganje fenola uz TiO2,pdf/2003/z03-2304.pdf
Spasojević Tijana,1985,Novi Sad,treći,"Gimnazija ""Svetozar Marković""",Novi Sad,HEM,4,2003,Sinteza i karakterizacija kompleksa bakra (II) sa semikarbazonom piridoksala,pdf/2003/Z03-2305.pdf
Vujanić Tijana,1985,Novi Sad,treći,"Gimnazija ""Svetozar Marković""",Novi Sad,BMD,4,2003,Ispitavanje uticaja svetlosti na atibakterijsko dejstvo ekstrata kantariona,pdf/2003/z03-2401.pdf
Cvetković Biljana,1985,Bašin,treći,"Gimnazija ""Sveta Đorđević""",Smederevska Palanka,BMD,4,2003,Uticaj kalijumovih i fosfornih veštačkih đubriva na koncentraciju likopena i vitamina C u plodu paradajza,pdf/2003/Z03-2402.pdf
Milosavljević Monika,1985,Čačak,četvrti,Gimnazija,Čačak,AHL,19,2003,Čačak i okolina u poznoj antici,pdf/2003/z03-3101.pdf
Jošić Smiljana,1987,Ljubovija,prvi,Gimnazija,Ljubovija,AHL,6,2003,Rezultati analize keramike sa lokaliteta Na njive,pdf/2003/Z03-3102.pdf
Kovačević Vanja,1987,Novi Beograd,prvi,Filološka gimnazija,Beograd,AHL,6,2003,Rezultati analize keramike sa lokaliteta Na njive,pdf/2003/Z03-3102.pdf
Simić Alaksandra,1986,Novi Sad,drugi,"Gimnazija ""Svetozar Marković""",Novi Sad,AHL,6,2003,Rezultati analize keramike sa lokaliteta Na njive,pdf/2003/Z03-3102.pdf
Rajić Sanja,1987,Novi Sad,prvi,Karlovačka gimnazija,Sremski Karlovci,AHL,6,2003,Rezultati analize keramike sa lokaliteta Na njive,pdf/2003/Z03-3102.pdf
Brković Čarna,1985,Podgorica (CG),četvrti,"Gimnazija ""Slobodan Škerović""",Podgorica (CG),ANT,9,2003,Strukturalna analiza proročanstva vezano za pomračenje Sunca 1999. godine,pdf/2003/z03-3201.pdf
Rajić Miroslava,1984,Majdanpek,četvrti,"Gimnazija ""Mile Arsenijević Bandera""",Majdanpek,ANT,9,2003,Strukturalna analiza proročanstva vezano za pomračenje Sunca 1999. godine,pdf/2003/z03-3201.pdf
Simendić Marko,1985,Beograd,četvrti,Filološka gimnazija,Beograd,IST,14,2003,Odraz društvenih prilika na pisanje specijalizovanog časopisa u Srbiji,pdf/2003/z03-3301.pdf
Vuksanović Ivana,1984,Medveđa,četvrti,Gimnazija,Leskovac,LIN,18,2003,Raspored konstituentskih jedinica u jeziku dece školskog uzrasta,pdf/2003/z03-3401.pdf
Pejčinović Lidija,1986,Beograd,drugi,III beogradska gimnazija,Beograd,LIN,4,2003,Kolokacije u pismenim zadacima,pdf/2003/Z03-3402.pdf
Đoković Nevena,1985,Zaječar,treći,Gimnazija,Zaječar,PSH,9,2003,Povezanost stilova afektivnog vezivanja i koncepta o sebi kod polaznika IS Petnica,pdf/2003/z03-3501.pdf
Lekić Teodora,1986,Beograd,drugi,III beogradska gimnazija,Beograd,PSH,9,2003,Povezanost stilova afektivnog vezivanja i koncepta o sebi kod polaznika IS Petnica,pdf/2003/z03-3501.pdf
Mandić Marija,1986,Beograd,drugi,III beogradska gimnazija,Beograd,PSH,9,2003,Povezanost stilova afektivnog vezivanja i koncepta o sebi kod polaznika IS Petnica,pdf/2003/z03-3501.pdf
Simović Anja,1986,Beograd,drugi,XIII beogradska gimnazija,Beograd,PSH,8,2003,Razlike u proceni horizontalne i vertikalne udaljenosti,pdf/2003/Z03-3502.pdf
Stanojević Ivana,1985,Knjaževac,treći,Gimnazija,Knjaževac,PSH,8,2003,Razlike u proceni horizontalne i vertikalne udaljenosti,pdf/2003/Z03-3502.pdf
Stepandović Mladen,1985,Loznica,treći,Gimnazija,Loznica,PSH,8,2003,Razlike u proceni horizontalne i vertikalne udaljenosti,pdf/2003/Z03-3502.pdf
Radanović Jelena,1987,Kikinda,prvi,"Gimnazija ""Dušan Vasiljev""",Kikinda,PSH,12,2003,Subjektivni doživljaj umetničkih slika različitih po temi i pripadnosti slikarskom pravcu,pdf/2003/z03-3503.pdf
Šarenac Tamara,1986,Bijela (CG),treći,"Gimnazija ""Ivan-Goran Kovačić""",Herceg Novi (CG),PSH,12,2003,Subjektivni doživljaj umetničkih slika različitih po temi i pripadnosti slikarskom pravcu,pdf/2003/z03-3503.pdf
Stojanović Kristina,1984,Niš,četvrti,"Gimnazija ""Stevan Sremac""",Niš,PSH,6,2003,Opaženje forme u tačkastim sklopovima,pdf/2003/Z03-3504.pdf
Popov Jelena,1985,Beograd,treći,XIII beogradska gimnazija,Beograd,PSH,6,2003,Opaženje forme u tačkastim sklopovima,pdf/2003/Z03-3504.pdf
Dačić Nevena,1984,Majdanpek,četvrti,Gimnazija,Majdanpek,PSH,6,2003,Konotativno značenje parova pojmova,pdf/2003/z03-3505.pdf
Todorović Nevena,1986,Požega,drugi,"Gimnazija ""Sveti Sava""",Požega,PSH,6,2003,Konotativno značenje parova pojmova,pdf/2003/z03-3505.pdf
Milovanović Biljana,1984,Beograd,četvrti,III beogradska gimnazija,Beograd,PSH,4,2003,Povezanost socio-demografskih odlika roditelja dece prvog razreda osnovne škole izbora između predmeta veronauke i građanskog vaspitanja,pdf/2003/z03-3506.pdf
Marcikić Aleksandra,1985,Subotica,četvrti,"Gimnazija ""Svetozar Marković""",Subotica,PSH,4,2003,Povezanost socio-demografskih odlika roditelja dece prvog razreda osnovne škole izbora između predmeta veronauke i građanskog vaspitanja,pdf/2003/z03-3506.pdf
Knežević Ivan,1984,Novi Sad,četvrti,"Gimnazija ""Svetozar Marković""",Novi Sad,PSH,4,2003,Povezanost socio-demografskih odlika roditelja dece prvog razreda osnovne škole izbora između predmeta veronauke i građanskog vaspitanja,pdf/2003/z03-3506.pdf
Gajić Danica,1986,Beograd,drugi,IV beogradske gimnazije,Beograd,PSH,4,2003,Povezanost socio-demografskih odlika roditelja dece prvog razreda osnovne škole izbora između predmeta veronauke i građanskog vaspitanja,pdf/2003/z03-3506.pdf
Major Agota,1984,Novi Sad,četvrti,"Gimnazija ""Svetozar Marković""",Novi Sad,PSH,4,2003,Povezanost socio-demografskih odlika roditelja dece prvog razreda osnovne škole izbora između predmeta veronauke i građanskog vaspitanja,pdf/2003/z03-3506.pdf
Nešović Zlatka,1985,Užice,treći,Građevinska škola,Užice,PSH,4,2003,Povezanost socio-demografskih odlika roditelja dece prvog razreda osnovne škole izbora između predmeta veronauke i građanskog vaspitanja,pdf/2003/z03-3506.pdf
Sič Bojan,1985,Novi Sad,četvrti,"Gimnazija ""Jovan Jovanović Zmaj""",Novi Sad,AST,20,2004,Uticaj bliskog zveydanog prolaska na dinamičke karakteristike Kojperovog pojasa,pdf/2004/z04-11a01s.pdf
Rakić Goran,1985,Smederevska Palanka,četvrti,"Gimnazija ""Sveta Đorđević""",Smederevska Palanka,AST,14,2004,Dinamička stabilnost nastanjive zone u dvojnom sistemu a Centauri AB,pdf/2004/z04-11a02rk.pdf
Klisić Đorđe,1985,Beograd,četvrti,III beogradska gimnazija,Beograd,AST,14,2004,Dinamička stabilnost nastanjive zone u dvojnom sistemu a Centauri AB,pdf/2004/z04-11a02rk.pdf
Pavlović Marko,1987,Pirot,treći,Gimnazija,Pirot,AST,6,2004,Numerička simulacija efekta gravitacionih sočiva,pdf/2004/z04-11a03p.pdf
Radulaški Marina,1986,Beograd,treći,Matematička gimnazija,Beograd,FIZ,20,2004,Trajektorije značajne za računanje funkcionalnog integrala u kvantnoj mehanici,pdf/2004/z04-12f01mr.pdf
Srećković Miloš,1987,Šabac,drugi,Matematička gimnazija,Beograd,FIZ,10,2004,Monte Karlo simulacija laserskog hlađenja,pdf/2004/z04-12f02s.pdf
El Mezeni Dragomir,1985,Obrenovac,četvrti,Matematička gimnazija,Beograd,FIZ,9,2004,Uticaj kompeticije na efikasnost sistema u Minority game,pdf/2004/z04-12f03dzh.pdf
Lazarević Živorad,1985,Užice,četvrti,Matematička gimnazija,Beograd,FIZ,9,2004,Uticaj kompeticije na efikasnost sistema u Minority game,pdf/2004/z04-12f03dzh.pdf
Radanović Stevan,1985,Sremska Mitrovica,četvrti,"Gimnazija ""Ivo Lola Ribar""",Sremska Mitrovica,FIZ,9,2004,Haos u kapanju vode,pdf/2004/z04-12f04su.pdf
Delić Uroš,1985,Novi Beograd,četvrti,Matematička gimnazija,Beograd,FIZ,9,2004,Haos u kapanju vode,pdf/2004/z04-12f04su.pdf
Dimitrievska Mirjana,1987,Bor,drugi,"Gimnazija ""Bora Stanković""",Bor,FIZ,6,2004,Određivanje veze između koeficijenta površinskog napona i koeficijenta viskoznosti,pdf/2004/z04-12f05md.pdf
Stojsavljević Petra,1986,Sombor,treći,Matematička gimnazija,Beograd,FIZ,7,2004,Merenje brzine zvuka uz pomoć Doplerovog efekta,pdf/2004/z04-12f06p.pdf
Radičević Đorđe,1988,Niš,prvi,"Gimnazija ""Svetozar Marković""",Niš,FIZ,4,2004,Simulacija distribucije naelektrisanja na 2D i 3D modelima metodom simuliranog kaljenja,pdf/2004/z04-12f07dj.pdf
Todorović Darko,1985,Vlasotince,četvrti,"Gimnazija ""Stevan Jakovljević""",Vlasotince,ELE,5,2004,Ultrazvučni sonar,pdf/2004/z04-14e01d.pdf
Simović Velibor,1987,Herceg Novi (CG),drugi,"Srednja škola ""Ivan Goran Kovačević""",Herceg Novi (CG),ELE,5,2004,Laserski 3D skener,pdf/2004/z04-14e02v.pdf
Janjić Vuk,1986,Beograd,treći,XIII beogradska gimnazija,Beograd,RAČ,3,2004,TERRAGEN – 3D vizuelizacija terena,pdf/2004/z04-15r01v.pdf
Panić Dušan,1987,Loznica,drugi,"Gimnazija ""Vuk Karadžić""",Loznica,RAČ,6,2004,DFTPD Distribuirani FTP Daemon,pdf/2004/z04-15r02d.pdf
Radovanović Una,1986,Jakovo,treći,IX beogradska gimnazija,,RAČ,4,2004,Program Grafikoni,pdf/2004/z04-15r03u.pdf
Marjanović Nemanja,1987,Inđija,drugi,Gimnazija,Inđija,BIO,6,2004,Fauna Oligoheta kao indikator kvaliteta vode Inđijskog potoka,pdf/2004/z04-21b01n.pdf
Popović Miloš,1987,Zaječar,drugi,Gimnazija,Zaječar,BIO,4,2004,Kvalitativni i kvantitativni sastav faune dnevnih leptira okoline Petnice,pdf/2004/z04-21b02m.pdf
Ledina Tijana,1987,Sokobanja,treći,Gimnazija,Knjaževac,BIO,7,2004,"Populaciona, kvalitativna i kvantitativna analiza ihtiofaune rece Pocibrave u letnjem aspektu 2004. godine",pdf/2004/z04-21b03tss.pdf
Purjakov Stefan,1987,Zemun,drugi,Zemunska gimnazija,Zemun,BIO,7,2004,"Populaciona, kvalitativna i kvantitativna analiza ihtiofaune rece Pocibrave u letnjem aspektu 2004. godine",pdf/2004/z04-21b03tss.pdf
Lukić Stefan,1988,Beograd,prvi,Sportska gimnazija,Beograd,BIO,7,2004,"Populaciona, kvalitativna i kvantitativna analiza ihtiofaune rece Pocibrave u letnjem aspektu 2004. godine",pdf/2004/z04-21b03tss.pdf
Ristivojević Bojan,1985,Lazarevac,četvrti,Gimnazija,Lazarevac,BIO,2,2004,Uticaj otpadnih voda na diverzitet makrozoobentosa Kolubare kod Vreoca,pdf/2004/z04-21bx1b.pdf
Pribak Milan,1986,Pančevo,treći,"Poljoprivredna škola ""Josif Pančić""",Pančevo,BIO,1,2004,Mikrobiološka analiza vode i zemljišta Petničke pećine,pdf/2004/z04-21bx2mm.pdf
Saravolac Milenko,1985,Bečej,četvrti,Gimnazija,Bečej,BIO,1,2004,Mikrobiološka analiza vode i zemljišta Petničke pećine,pdf/2004/z04-21bx2mm.pdf
Berberski Saša,1987,Zrenjanin,četvrti,Gimnazija,Zrenjanin,BIO,1,2004,Saprobiološka analiza kvalitativnog i kvantitativnog sastava fitoplanktona Pocibrave i Petničkog jezera,pdf/2004/z04-21bx3sn.pdf
Mijajlović Nikola,1986,Beograd,četvrti,VI beogradska gimnazija,Beograd,BIO,1,2004,Saprobiološka analiza kvalitativnog i kvantitativnog sastava fitoplanktona Pocibrave i Petničkog jezera,pdf/2004/z04-21bx3sn.pdf
Kostić Srđan,1986,Leskovac,četvrti,Gimnazija,Leskovac,GLG,11,2004,Geološki i morfološki aspekti izgradnje objekata zapadno od Lebana,pdf/2004/z04-22g01s.pdf
Santrač Nada,1986,Beograd,treći,IV beogradska gimnazija,Beograd,GLG,10,2004,Uticaj industrijskih otpadnih voda na kvalitet vode gornjeg toka reke Kolubare,pdf/2004/z04-22g02ni.pdf
Daskijević Ivan,1986,Apatin,treći,"Gimnazija ""Nikola Tesla""",Apatin,GLG,10,2004,Uticaj industrijskih otpadnih voda na kvalitet vode gornjeg toka reke Kolubare,pdf/2004/z04-22g02ni.pdf
Božović Dejan,1986,Loznica,treći,"Gimnazija ""Vuk Karadžić""",Loznica,GLG,5,2004,Teški metali u poljoprivrednom zemljištu okoline deponije u Loznici,pdf/2004/z04-22g03ds.pdf
Marković Stefan,1985,Loznica,četvrti,"Gimnazija ""Vuk Karadžić""",Loznica,GLG,5,2004,Teški metali u poljoprivrednom zemljištu okoline deponije u Loznici,pdf/2004/z04-22g03ds.pdf
